Date,Store,Location,Product,Category,Units Sold,Unit Price,Total Sales
2024-01-01,Central Perk,New York,Croissant,Bakery,73,3.0,219.0
2024-01-01,Central Perk,New York,Latte,Beverage,16,4.5,72.0
2024-01-01,Central Perk,New York,Espresso,Beverage,11,3.0,33.0
2024-01-01,Central Perk,New York,Bagel,Bakery,66,2.0,132.0
2024-01-01,Central Perk,New York,Cold Brew,Beverage,90,4.0,360.0
2024-01-01,Central Perk,New York,Latte,Beverage,71,4.5,319.5
2024-01-01,Central Perk,New York,Latte,Beverage,52,4.5,234.0
2024-01-01,Central Perk,New York,Latte,Beverage,96,4.5,432.0
2024-01-01,Brew Haven,Los Angeles,Cold Brew,Beverage,61,4.0,244.0
2024-01-01,Brew Haven,Los Angeles,Espresso,Beverage,15,3.0,45.0
2024-01-01,Brew Haven,Los Angeles,Bagel,Bakery,47,2.0,94.0
2024-01-01,Brew Haven,Los Angeles,Cold Brew,Beverage,88,4.0,352.0
2024-01-01,Brew Haven,Los Angeles,Latte,Beverage,89,4.5,400.5
2024-01-01,Brew Haven,Los Angeles,Muffin,Bakery,39,2.5,97.5
2024-01-01,Brew Haven,Los Angeles,Muffin,Bakery,46,2.5,115.0
2024-01-01,Brew Haven,Los Angeles,Croissant,Bakery,48,3.0,144.0
2024-01-01,Brew Haven,Los Angeles,Espresso,Beverage,58,3.0,174.0
2024-01-01,Brew Haven,Los Angeles,Espresso,Beverage,19,3.0,57.0
2024-01-01,Daily Grind,Chicago,Bagel,Bakery,91,2.0,182.0
2024-01-01,Daily Grind,Chicago,Espresso,Beverage,78,3.0,234.0
2024-01-01,Daily Grind,Chicago,Bagel,Bakery,75,2.0,150.0
2024-01-01,Daily Grind,Chicago,Cold Brew,Beverage,44,4.0,176.0
2024-01-01,Daily Grind,Chicago,Muffin,Bakery,79,2.5,197.5
2024-01-01,Daily Grind,Chicago,Latte,Beverage,40,4.5,180.0
2024-01-01,Daily Grind,Chicago,Latte,Beverage,63,4.5,283.5
2024-01-01,Daily Grind,Chicago,Croissant,Bakery,40,3.0,120.0
2024-01-01,Mocha Magic,San Francisco,Muffin,Bakery,41,2.5,102.5
2024-01-01,Mocha Magic,San Francisco,Espresso,Beverage,68,3.0,204.0
2024-01-01,Mocha Magic,San Francisco,Muffin,Bakery,27,2.5,67.5
2024-01-01,Mocha Magic,San Francisco,Croissant,Bakery,51,3.0,153.0
2024-01-01,Mocha Magic,San Francisco,Cold Brew,Beverage,55,4.0,220.0
2024-01-01,Mocha Magic,San Francisco,Espresso,Beverage,88,3.0,264.0
2024-01-01,Mocha Magic,San Francisco,Croissant,Bakery,90,3.0,270.0
2024-01-01,Mocha Magic,San Francisco,Bagel,Bakery,75,2.0,150.0
2024-01-01,Mocha Magic,San Francisco,Muffin,Bakery,21,2.5,52.5
2024-01-02,Central Perk,New York,Croissant,Bakery,97,3.0,291.0
2024-01-02,Central Perk,New York,Croissant,Bakery,70,3.0,210.0
2024-01-02,Central Perk,New York,Espresso,Beverage,71,3.0,213.0
2024-01-02,Central Perk,New York,Bagel,Bakery,88,2.0,176.0
